tableID,dataset,preds,group,labels,universe,index,header,scope
,,,,,,,,
#hh|geo|inc,series=geoseries;survey=acs;estimate=5,,B19001,Estimate|Total|*,households,geography,income,
#hh|geo|inc@renter,series=geoseries;survey=acs;estimate=5,,B25118,Estimate|Total|Renter occupied|*,households,geography,income,tenure=Renter
#hh|geo|inc@owner,series=geoseries;survey=acs;estimate=5,,B25118,Estimate|Total|Owner occupied|*,households,geography,income,tenure=Owner
,,,,,,,,
#agginc|geo,series=geoseries;survey=acs;estimate=5,,B19313,Estimate|Aggregate income in the past 12 months (in {date} Inflation-adjusted dollars),aggincome,geography,,
#agginc|geo@renter,series=geoseries;survey=acs;estimate=5,,B25120,Estimate|Aggregate household income in the past 12 months (in {date} Inflation-adjusted dollars)|Renter occupied,aggincome,geography,,tenure=Renter
#agginc|geo|mort@owner,series=geoseries;survey=acs;estimate=5,,B25120,Estimate|Aggregate household income in the past 12 months (in {date} Inflation-adjusted dollars)|Owner occupied|*,aggincome,geography,mortgage,tenure=Owner
,,,,,,,,
#hh|geo|cost@renter,series=geoseries;survey=acs;estimate=5,,B25063,Estimate|Total|With cash rent|*;Estimate|Total|No cash rent,households,geography,cost,tenure=Renter
#hh|geo|cost@owner,series=geoseries;survey=acs;estimate=5,,B25094,Estimate|Total|*,households,geography,cost,tenure=Owner
#hh|geo|cost@owner@mortgage,series=geoseries;survey=acs;estimate=5,,B25087,Estimate|Total|Housing units with a mortgage|*,households,geography,cost,tenure=Owner;mortgage=Mortgage
#hh|geo|cost@owner@equity,series=geoseries;survey=acs;estimate=5,,B25087,Estimate|Total|Housing units without a mortgage|*,households,geography,cost,tenure=Owner;mortgage=Equity
,,,,,,,,
#aggcost|geo@renter,series=geoseries;survey=acs;estimate=5,,B25065,Estimate|Aggregate gross rent,aggrentercost,geography,,tenure=Renter
#aggcost|geo|mort@owner,series=geoseries;survey=acs;estimate=5,,B25089,Estimate|Aggregate selected monthly owner costs (dollars)|Housing units with a mortgage (dollars);Estimate|Aggregate selected monthly owner costs (dollars)|Housing units without a mortgage (dollars),aggownercost,geography,mortgage,tenure=Owner
,,,,,,,,
#hh|geo|ci@renter,series=geoseries;survey=acs;estimate=5,,B25070,Estimate|Total|*,households,geography,%costincome,tenure=Renter
#hh|geo|ci@owner@mortgage,series=geoseries;survey=acs;estimate=5,,B25091,Estimate|Total|Housing units with a mortgage|*,households,geography,%costincome,tenure=Owner;mortgage=Mortgage
#hh|geo|ci@owner@equity,series=geoseries;survey=acs;estimate=5,,B25091,Estimate|Total|Housing units without a mortgage|*,households,geography,%costincome,tenure=Owner;mortgage=Equity
,,,,,,,,
#hh|geo|rent@renter,series=geoseries;survey=acs;estimate=5,,B25056,Estimate|Total|With cash rent|*;Estimate|Total|No cash rent,households,geography,rent,tenure=Renter
#hh|geo|val@owner,series=geoseries;survey=acs;estimate=5,,B25075,Estimate|Total|*,households,geography,value,tenure=Owner
,,,,,,,,
#aggrent|geo@renter,series=geoseries;survey=acs;estimate=5,,B25060,Estimate|Aggregate contract rent,aggrent,geography,,tenure=Renter
#aggval|geo|mort@owner,series=geoseries;survey=acs;estimate=5,,B25082,Estimate|Aggregate value (dollars)|*,aggvalue,geography,mortgage,tenure=Owner
,,,,,,,,
#hh|geo@renter,series=geoseries;survey=acs;estimate=5,,B25003,Estimate|Total|Renter occupied,households,geography,,tenure=Renter
#hh|geo|mort@owner,series=geoseries;survey=acs;estimate=5,,B25081,Estimate|Total|Housing units with a mortgage contract to purchase or similar debt;Estimate|Total|Housing units without a mortgage,households,geography,mortgage,tenure=Owner
,,,,,,,,
#hh|geo|age@renter,series=geoseries;survey=acs;estimate=5,,B25007,Estimate|Total|Renter occupied|*,households,geography,age,tenure=Renter
#hh|geo|age@owner,series=geoseries;survey=acs;estimate=5,,B25007,Estimate|Total|Owner occupied|*,households,geography,age,tenure=Owner
#hh|geo|age@owner@mortgage,series=geoseries;survey=acs;estimate=5,,B25027,Estimate|Total|Housing units with a mortgage|*,households,geography,age,tenure=Owner;mortgage=Mortgage
#hh|geo|age@owner@equity,series=geoseries;survey=acs;estimate=5,,B25027,Estimate|Total|Housing units without a mortgage|*,households,geography,age,tenure=Owner;mortgage=Equity
,,,,,,,,
#hh|geo|size@renter,series=geoseries;survey=acs;estimate=5,,B25009,Estimate|Total|Renter occupied|*,households,geography,size,tenure=Renter
#hh|geo|size@owner,series=geoseries;survey=acs;estimate=5,,B25009,Estimate|Total|Owner occupied|*,households,geography,size,tenure=Owner
,,,,,,,,
#hh|geo|child@renter,series=geoseries;survey=acs;estimate=5,,B25012,Estimate|Total|Renter-occupied housing units|With related children of the householder under 18;Estimate|Total|Renter-occupied housing units|No related children of the householder under 18,households,geography,children,tenure=Renter
#hh|geo|child@owner,series=geoseries;survey=acs;estimate=5,,B25012,Estimate|Total|Owner-occupied housing units|With related children of the householder under 18;Estimate|Total|Owner-occupied housing units|No related children of the householder under 18,households,geography,children,tenure=Owner
,,,,,,,,
#st|geo|yrocc@renter,series=geoseries;survey=acs;estimate=5,,B25038,Estimate|Total|Renter occupied|*,structures,geography,yearoccupied,tenure=Renter;occupancy=Occupied
#st|geo|yrocc@owner,series=geoseries;survey=acs;estimate=5,,B25038,Estimate|Total|Owner occupied|*,structures,geography,yearoccupied,tenure=Owner;occupancy=Occupied
#st|geo|yrocc@renter@age1,series=geoseries;survey=acs;estimate=5,,B25128,Estimate|Total|Renter occupied|Householder 15 to 34 years|*,structures,geography,yearoccupied,tenure=Renter;occupancy=Occupied;age=15|34
#st|geo|yrocc@renter@age2,series=geoseries;survey=acs;estimate=5,,B25128,Estimate|Total|Renter occupied|Householder 35 to 64 years|*,structures,geography,yearoccupied,tenure=Renter;occupancy=Occupied;age=35|64
#st|geo|yrocc@renter@age3,series=geoseries;survey=acs;estimate=5,,B25128,Estimate|Total|Renter occupied|Householder 65 years and over|*,structures,geography,yearoccupied,tenure=Renter;occupancy=Occupied;age=>65
#st|geo|yrocc@owner@age1,series=geoseries;survey=acs;estimate=5,,B25128,Estimate|Total|Owner occupied|Householder 15 to 34 years|*,structures,geography,yearoccupied,tenure=Owner;occupancy=Occupied;age=15|34
#st|geo|yrocc@owner@age2,series=geoseries;survey=acs;estimate=5,,B25128,Estimate|Total|Owner occupied|Householder 35 to 64 years|*,structures,geography,yearoccupied,tenure=Owner;occupancy=Occupied;age=35|64
#st|geo|yrocc@owner@age3,series=geoseries;survey=acs;estimate=5,,B25128,Estimate|Total|Owner occupied|Householder 65 years and over|*,structures,geography,yearoccupied,tenure=Owner;occupancy=Occupied;age=>65
,,,,,,,,
#st|geo|yrblt,series=geoseries;survey=acs;estimate=5,,B25034,Estimate|Total|*,structures,geography,yearbuilt,
#st|geo|rm,series=geoseries;survey=acs;estimate=5,,B25017,Estimate|Total|*,structures,geography,rooms,
#st|geo|br,series=geoseries;survey=acs;estimate=5,,B25041,Estimate|Total|*,structures,geography,bedrooms,
#st|geo|unit,series=geoseries;survey=acs;estimate=5,,B25024,Estimate|Total|*,structures,geography,unit,
#st|geo|occ,series=geoseries;survey=acs;estimate=5,,B25002,Estimate|Total|*,structures,geography,occupancy,
#st|geo|vac@vacant,series=geoseries;survey=acs;estimate=5,,B25004,Estimate|Total|*,structures,geography,vacancy,occupancy=Vacant
,,,,,,,,
#pop|geo|race,series=geoseries;survey=acs;estimate=5,,B02001,Estimate|Total|*,population,geography,race,
#pop|geo|origin,series=geoseries;survey=acs;estimate=5,,B03003,Estimate|Total|*,population,geography,origin,
#pop|geo|lang@age1,series=geoseries;survey=acs;estimate=5,,B16004,Estimate|Total|5 to 17 years|*,population,geography,language,age=5|17
#pop|geo|lang@age2,series=geoseries;survey=acs;estimate=5,,B16004,Estimate|Total|18 to 64 years|*,population,geography,language,age=18|64
#pop|geo|lang@age3,series=geoseries;survey=acs;estimate=5,,B16004,Estimate|Total|65 years and over|*,population,geography,language,age=>65
,,,,,,,,
#pop|geo|age@male,series=geoseries;survey=acs;estimate=5,,B01001,Estimate|Total|Male|*,population,geography,age,sex=Male
#pop|geo|age@female,series=geoseries;survey=acs;estimate=5,,B01001,Estimate|Total|Female|*,population,geography,age,sex=Female
#pop|geo|age@child,series=geoseries;survey=acs;estimate=5,,B09001,Estimate|Total|In households|*,population,geography,age,
,,,,,,,,
#pop|geo|edu@male@age1,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Male|18 to 24 years|*,population,geography,education,sex=Male;age=18|24
#pop|geo|edu@male@age2,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Male|25 to 34 years|*,population,geography,education,sex=Male;age=25|34
#pop|geo|edu@male@age3,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Male|35 to 44 years|*,population,geography,education,sex=Male;age=35|44
#pop|geo|edu@male@age4,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Male|45 to 64 years|*,population,geography,education,sex=Male;age=45|64
#pop|geo|edu@male@age5,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Male|65 years and over|*,population,geography,education,sex=Male;age=>65
#pop|geo|edu@female@age1,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Female|18 to 24 years|*,population,geography,education,sex=Female;age=18|24
#pop|geo|edu@female@age2,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Female|25 to 34 years|*,population,geography,education,sex=Female;age=25|34
#pop|geo|edu@female@age3,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Female|35 to 44 years|*,population,geography,education,sex=Female;age=35|44
#pop|geo|edu@female@age4,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Female|45 to 64 years|*,population,geography,education,sex=Female;age=45|64
#pop|geo|edu@female@age5,series=geoseries;survey=acs;estimate=5,,B15001,Estimate|Total|Female|65 years and over|*,population,geography,education,sex=Female;age=>65
,,,,,,,,
#pop|geo|cmte,series=geoseries;survey=acs;estimate=5,,B08303,Estimate|Total|*,population,geography,commute,age=>16;laborstatus=Working;laborforce=Civilian;employstatus=Employed;employlocation=OnSite
